id;rule_id;rule_content;rule_group;rule_seq;rule_state;rule_map
1;17296;Isle Funk what;Bike;8902;Refined East politely;purple
2;27506;convergence tesla;male;28184;discussion Awesome;East payment Assurance
3;9260;Ford Market Focused;invoice perferendis;21056;or bus Lead;Somoni toy
4;20341;input Yemeni;nam coulomb Ferrari;17722;Mountain;sprat
5;28922;program;gadzooks;18351;Southwest laborum gadzooks;Buckinghamshire input
6;19451;Loan West;whereas;13533;Factors and poised;eaque
7;14312;Wagon Soul;Universal;9225;oh;sue
8;8616;indeed Maryland function;Maserati;23927;watchmaker SUV;Diesel rich
9;25259;Tricycle protocol;Checking Borders oof;2809;nimble;Customer
10;28099;Bahamian Wolff;East;15874;Agent Grocery veritatis;Convertible gee Grocery
