id;notification_id;notify_seq;notify_type;notify_to;notify_by
1;11039;10737;id inside;Abbigail Optional back;Adaptive Operative hmph
2;3830;30234;blue;Bicycle;hmph
3;14398;2729;Steel invoice red;Classical woot;eek Bedfordshire Dakota
4;6926;22428;grey Fantastic Bicycle;orchid;yellow bus guess
5;2682;7997;Car Senior Vermont;Chief;Credit while South
6;29092;26225;Chief microchip;wrap Intelligent Orchestrator;Road Maine
7;31042;28751;copying;Garden Consultant harness;middleware Volkswagen hmph
8;18221;26368;Gender;primary;Response
9;3054;25538;indigo Movies;North Wooden copy;compelling
10;14730;29116;redundant;Islands Non teal;Chrysler transmitter
